sample_name ,media,concentration,fat_type,exp
Control_1,Control,None,Control,1
OPLA200_1,OPLA200,Low,OPLA,1
OPLA800_1,OPLA800,High,OPLA,1
POLA200_1,POLA200,Low,POLA,1
POLA800_1,POLA800,High,POLA,1
Control_2,Control,None,Control,2
OPLA200_2,OPLA200,Low,OPLA,2
OPLA800_2,OPLA800,High,OPLA,2
POLA200_2,POLA200,Low,POLA,2
POLA800_2,POLA800,High,POLA,2
Control_3,Control,None,Control,3
OPLA200_3,OPLA200,Low,OPLA,3
OPLA800_3,OPLA800,High,OPLA,3
POLA200_3,POLA200,Low,POLA,3
POLA800_3,POLA800,High,POLA,3
Control_4,Control,None,Control,4
OPLA200_4,OPLA200,Low,OPLA,4
OPLA800_4,OPLA800,High,OPLA,4
POLA200_4,POLA200,Low,POLA,4
POLA800_4,POLA800,High,POLA,4
Control_5,Control,None,Control,5
OPLA200_5,OPLA200,Low,OPLA,5
OPLA800_5,OPLA800,High,OPLA,5
POLA200_5,POLA200,Low,POLA,5
POLA800_5,POLA800,High,POLA,5
